id_ligne,id_commande,id_produit,quantite
306,25854,1521,6
307,33305,993,7
308,34247,405,6
309,6886,152,4
310,35117,641,1
311,35297,320,1
312,45599,613,5
313,31401,636,9
314,23615,615,5
315,9800,452,6
316,49752,966,8
317,38529,264,3
318,36797,292,8
319,4248,1234,9
320,30590,1673,8
321,12053,224,2
322,13583,1178,10
323,41859,603,10
324,12793,858,3
325,47910,1541,7
326,27075,193,4
327,41482,1627,5
328,8805,655,3
329,11909,1881,5
330,2654,634,4
331,24156,13,7
332,36931,676,9
333,7852,1461,3
334,9365,353,7
335,15619,403,7
336,10211,855,9
337,38442,1716,8
338,47946,3,6
339,39851,203,2
340,43307,1429,3
341,49460,994,1
342,34157,998,4
343,26266,1641,10
344,39999,1009,3
345,35455,381,3
346,26738,958,8
347,33870,385,5
348,30409,529,1
349,30306,1141,3
350,33268,106,2
351,427,788,1
352,12962,175,2
353,38061,1420,3
354,6529,674,7
355,7251,1098,10
356,35245,215,8
357,11976,1903,6
358,36741,1192,6
359,29372,304,3
360,20474,61,5
361,45673,559,9
362,49167,1977,7
363,16899,1465,6
364,25311,1450,1
365,36462,409,8
366,37664,279,2
367,22093,1134,2
368,2338,659,3
369,21212,612,9
370,734,116,2
371,30875,1783,6
372,17843,439,9
373,21753,1706,2
374,21393,769,8
375,30551,944,9
376,48720,1708,6
377,17889,1610,9
378,40403,694,1
379,49161,1277,9
380,401,1305,9
381,19724,1232,10
382,41879,773,4
383,28291,488,8
384,36884,1325,1
385,16544,561,9
386,48319,852,5
387,21075,972,9
388,49313,236,7
389,19701,1996,3
390,33429,1164,10
391,48817,1078,7
392,7609,1739,10
393,11436,911,1
394,8187,784,9
395,38658,1730,9
396,19856,1562,3
397,47134,1493,10
398,45539,803,6
399,36641,624,8
400,48039,1,7
401,9448,682,9
402,9686,1464,9
403,19837,1909,10
404,30340,1385,10
405,22171,550,1
406,46830,1528,4
407,18304,1559,9
408,39425,1887,10
409,21103,673,8
410,39398,776,7
411,30483,1976,3
412,9963,1627,9
413,43797,954,8
414,26126,824,9
415,19628,1611,6
416,2341,5,3
417,29024,1761,3
418,4138,1573,5
419,4274,1195,1
420,32129,767,10
421,9523,1218,7
422,12066,706,3
423,32740,1026,6
424,11071,759,10
425,12384,1409,2
426,10199,1021,10
427,40608,1299,5
428,13089,1284,9
429,30054,1894,10
430,38718,932,1
431,37288,95,8
432,14683,942,7
433,46701,1382,5
434,41759,1084,8
435,25397,427,6
436,28223,896,4
437,5003,391,4
438,10792,1145,3
439,15408,752,8
440,31609,1096,7
441,7353,1342,4
442,15017,987,7
443,26965,1310,7
444,25765,196,10
445,28320,1696,8
446,32258,1320,9
447,21480,239,1
448,35678,316,7
449,4610,1664,6
450,38432,28,10
451,46101,1978,6
452,45585,811,7
453,20444,307,2
454,6030,1793,8
455,34666,556,10
456,33132,1381,9
457,10059,1886,1
458,30542,290,2
459,49655,784,8
460,9613,1732,4
461,19258,1245,5
462,31189,1540,4
463,31157,726,8
464,32567,1622,8
465,24467,587,6
466,34204,1552,5
467,31905,149,5
468,12377,541,2
469,11336,941,5
470,3326,1129,9
471,29350,324,1
472,13915,767,6
473,46926,1478,7
474,14360,1224,1
475,44462,1090,4
476,43866,601,10
477,48104,514,10
478,9817,530,4
479,24594,1904,5
480,1011,683,5
481,29274,1199,6
482,8435,930,10
483,11696,1087,1
484,6648,355,6
485,42087,1163,9
486,45385,734,4
487,21800,1281,2
488,46766,1631,7
489,10945,1497,6
490,22302,1367,1
491,41515,706,10
492,17422,1873,4
493,24114,629,1
494,3038,1585,9
495,48958,419,6
496,26092,84,9
497,31226,82,4
498,15476,551,4
499,22861,1934,10
500,16188,127,4
501,19104,1401,7
502,38606,1521,8
503,2602,1161,2
504,173,1432,4
505,6669,319,6
506,37882,545,6
507,19240,567,10
508,9171,847,1
509,745,312,1
510,2036,1663,3
511,3423,1879,3
512,23451,158,9
513,30286,858,3
514,16872,1989,10
515,33886,1931,1
516,4189,720,1
517,37623,448,5
518,48992,1928,1
519,7187,1749,2
520,38450,1413,2
521,16818,1693,1
522,16456,895,7
523,30220,528,8
524,17435,1602,9
525,41224,1863,7
526,25896,1917,6
527,7592,1555,5
528,34960,1185,6
529,39346,1660,3
530,41527,111,7
531,46842,636,8
532,16122,561,9
533,8221,1570,2
534,25075,691,7
535,1440,1301,4
536,15728,532,8
537,12105,547,5
538,2211,97,7
539,8737,975,1
540,36217,1159,2
541,29831,1356,9
542,11977,1460,9
543,23855,1313,9
544,29190,1772,4
545,37503,1292,8
546,6975,467,7
547,11124,366,7
548,29869,1492,3
549,44305,983,5
550,4879,476,7
551,16427,666,9
552,41088,1216,6
553,37685,464,6
554,30589,1199,8
555,35782,1917,4
556,20955,1763,1
557,28437,511,8
558,27604,788,3
559,22421,1966,5
560,26293,1555,4
561,21057,846,7
562,36600,1885,6
563,12121,302,7
564,19543,283,7
565,4642,669,9
566,2932,1752,3
567,30118,1621,8
568,43325,582,1
569,39923,1582,10
570,18738,390,5
571,36449,703,9
572,26162,1139,8
573,18443,777,1
574,31442,1459,4
575,21528,1757,1
576,86,1369,9
577,34213,1430,4
578,40180,1931,9
579,1536,790,6
580,20869,1634,1
581,12211,1832,9
582,38424,1757,7
583,36456,318,2
584,25979,1879,4
585,47568,858,7
586,11113,111,1
587,16570,1347,1
588,47855,1083,10
589,40877,528,6
590,8083,1996,8
591,45670,1427,4
592,27687,1150,6
593,27450,1399,3
594,38064,627,4
595,6671,308,7
596,8971,1155,5
597,11130,159,10
598,15936,1544,7
599,9668,1676,10
600,34358,550,10
601,23626,322,4
602,22063,886,2
603,11050,1737,8
604,4468,645,5
605,29578,331,10
606,6856,877,5
607,12499,1580,8
608,28288,1501,5
609,20725,1937,5
610,35460,984,5
611,29117,402,9
612,13852,1317,6
613,16308,272,6
614,5455,1824,2
615,31737,726,6
616,27233,954,1
617,4709,1204,3
618,32003,167,2
619,5078,967,9
620,933,3,9
621,25687,1602,2
622,29772,1409,4
623,48585,1327,3
624,3632,176,9
625,5818,1199,10
626,35710,1281,8
627,40432,115,8
628,45270,160,10
629,44675,416,9
630,25571,372,9
631,22922,1315,10
632,9849,752,4
633,41036,1037,6
634,38714,1761,2
635,47273,559,1
636,11314,279,4
637,30903,1316,1
638,8883,174,4
639,12515,1412,9
640,34098,1122,6
641,45682,661,9
642,7131,227,1
643,12545,907,4
644,21555,1619,8
645,44856,1810,8
646,17194,458,3
647,11602,1939,8
648,42666,982,3
649,8582,505,7
650,28488,953,2
651,590,1066,2
652,40232,1972,9
653,8109,1468,10
654,18573,1761,1
655,29406,1907,1
656,48160,671,4
657,17098,1597,4
658,49551,1574,2
659,5065,1945,6
660,42020,942,6
661,9464,202,7
662,39372,84,4
663,42141,794,4
664,38753,795,5
665,41350,783,4
666,49590,901,7
667,27552,1987,10
668,36228,861,1
669,41278,1473,6
670,31018,346,4
671,8461,1841,7
672,25237,1300,9
673,46917,1006,9
674,24871,1183,1
675,13124,1242,3
676,36129,570,2
677,29334,891,6
678,17653,880,5
679,12975,1067,8
680,22434,828,1
681,8545,1626,2
682,7186,1009,6
683,2401,1979,7
684,41880,272,3
685,43139,1071,4
686,16210,351,3
687,1060,44,8
688,36198,90,4
689,7104,1295,3
690,15075,366,5
691,40607,1409,10
692,13434,420,9
693,28704,327,3
694,412,756,2
695,2685,726,4
696,38615,934,6
697,45917,867,6
698,24982,327,3
699,17278,760,9
700,19088,1487,7
701,7432,946,3
702,9705,1947,7
703,38208,362,2
704,32054,894,7
705,8215,1392,6
706,20680,341,10
707,44918,430,4
708,44418,478,4
709,48668,872,9
710,38307,281,1
711,2265,1740,10
712,18214,1246,5
713,13645,1329,3
714,7725,1732,5
715,48348,1830,10
716,15075,1130,1
717,9795,1859,4
718,39861,45,2
719,15091,885,1
720,33020,1913,1
721,36908,908,8
722,31543,1127,9
723,49420,579,5
724,13363,977,9
725,13735,903,3
726,45982,941,4
727,41595,1590,1
728,12015,1028,5
729,12493,1758,10
730,32612,1182,7
731,24602,1704,9
732,16828,1566,6
733,23011,1446,5
734,33886,15,9
735,13316,1012,6
736,42809,348,1
737,33167,330,7
738,37333,273,3
739,30825,1565,6
740,45491,1091,9
741,32865,1328,4
742,33074,1469,7
743,9022,1206,8
744,18844,1451,7
745,40358,1773,5
746,28498,961,5
747,47185,169,1
748,24604,552,6
749,18746,435,1
750,6752,177,6
751,23707,178,1
752,18013,1087,8
753,42484,1214,2
754,37489,1902,3
755,38906,1533,6
756,43867,489,5
757,32830,1754,6
758,8383,1302,3
759,43616,276,1
760,28654,275,10
761,27555,243,7
762,35125,241,7
763,3699,1768,10
764,38996,1383,6
765,4922,988,2
766,16627,705,1
767,1719,1172,4
768,9353,148,7
769,17107,1162,2
770,33443,1780,4
771,3388,186,7
772,7465,1610,5
773,21901,1888,3
774,15177,942,6
775,36673,1349,9
776,39693,1999,3
777,7533,1489,8
778,46373,1483,7
779,19461,816,7
780,25618,1441,8
781,30228,904,2
782,37670,1221,3
783,43919,468,6
784,38419,970,4
785,14822,775,9
786,49623,1098,9
787,14999,566,2
788,16349,1958,6
789,8826,1811,3
790,1711,1529,10
791,22279,311,3
792,28685,1708,7
793,39983,1419,4
794,17637,458,10
795,38969,1864,8
796,16266,1188,9
797,38537,844,3
798,5727,1757,8
799,19860,254,5
800,44560,172,2
801,17376,831,4
802,35166,1189,2
803,27060,1767,10
804,13340,736,3
805,22143,891,2
806,39881,792,2
807,4595,477,1
808,45070,1087,1
809,33554,816,9
810,23622,1728,7
811,7726,99,10
812,10527,483,4
813,26323,164,5
814,40373,1476,9
815,40069,378,10
816,7324,57,4
817,47183,708,10
818,21375,155,7
819,45640,1055,1
820,42087,1132,6
821,13444,1135,7
822,28724,1288,10
823,20855,1170,4
824,23726,1191,8
825,23022,996,5
826,29577,1997,3
827,40549,1611,4
828,24935,553,9
829,21517,1501,7
830,9402,1279,5
831,48998,1728,8
832,34757,1482,9
833,30164,979,7
834,43575,1278,3
835,11225,1610,5
836,26624,1513,9
837,39206,1960,8
838,32973,664,3
839,22538,103,8
840,49166,1836,1
841,25155,873,8
842,6765,1749,8
843,9032,1544,5
844,26204,1973,10
845,6720,974,8
846,47234,1357,1
847,45402,636,10
848,36756,1612,9
849,19441,1635,10
850,43828,1178,8
851,5351,1962,1
852,13262,1434,8
853,33271,1165,9
854,28247,1744,4
855,18150,283,7
856,4088,989,6
857,30382,119,1
858,7067,960,9
859,7145,734,5
860,30589,671,7
861,26381,788,7
862,32903,1874,9
863,4061,81,5
864,33159,618,7
865,27847,440,2
866,29617,970,1
867,42186,1479,8
868,18408,708,5
869,31505,1671,7
870,34144,894,2
871,20569,1994,8
872,3835,651,3
873,34079,1897,3
874,18313,30,4
875,38714,233,4
876,49526,500,5
877,25125,1913,1
878,12183,827,1
879,32250,1321,4
880,49537,600,4
881,37455,1703,8
882,38042,854,6
883,33564,227,10
884,43894,1627,1
885,21716,886,1
886,8027,1396,6
887,36440,1139,5
888,30578,1627,8
889,42156,1639,9
890,24865,1146,4
891,26413,682,6
892,1292,1667,9
893,10999,1232,5
894,8393,1373,6
895,49997,1876,7
896,7813,1636,2
897,33270,1362,4
898,26015,1742,5
899,22556,309,10
900,4996,562,4
901,25347,3,10
902,11702,176,1
903,19473,130,3
904,34931,1007,3
905,11515,1120,4
906,22631,1014,9
907,33814,654,9
908,44193,1317,8
909,6381,1526,6
910,20174,963,7
911,39160,1587,4
912,31397,822,3
913,17415,100,4
914,1447,137,8
915,20282,281,1
916,17911,1093,5
917,46699,1475,2
918,41209,1023,9
919,48587,1830,6
920,42296,1039,4
921,37096,584,3
922,20013,233,5
923,38768,367,9
924,32754,929,3
925,28620,1293,6
926,43400,1986,1
927,49567,1219,7
928,8317,1526,10
929,33504,293,8
930,19194,1783,4
931,24800,905,3
932,7271,1195,5
933,33971,220,7
934,32463,1635,5
935,29408,1717,6
936,3805,1279,5
937,48638,1595,8
938,17491,2000,5
939,28022,378,7
940,16321,575,4
941,19665,1144,9
942,47460,959,6
943,42043,1740,6
944,32998,659,3
945,37415,1641,10
946,6100,222,3
947,9050,910,10
948,39496,1839,5
949,42069,1791,10
950,15172,1646,7
951,25461,1052,8
952,34745,1475,6
953,33114,688,3
954,34020,911,5
955,449,96,10
956,26558,1561,2
957,42354,1837,2
958,46169,1510,3
959,5070,191,1
960,5622,785,3
961,34042,1932,6
962,39102,233,8
963,20860,88,5
964,13489,557,7
965,26483,1464,1
966,46888,302,1
967,17420,726,4
968,3242,1870,6
969,18362,1524,8
970,10058,705,6
971,5550,830,1
972,12596,124,5
973,5593,559,2
974,27575,895,1
975,29379,1601,5
976,16750,1421,4
977,1592,1225,4
978,2571,722,8
979,45457,164,8
980,19699,533,5
981,42342,576,4
982,21653,1918,8
983,42124,1483,6
984,39253,386,6
985,6426,1613,10
986,13659,1844,9
987,18681,469,10
988,46146,1891,4
989,36312,1401,10
990,33861,107,7
991,2893,30,1
992,16220,1031,7
993,38220,1011,7
994,34234,706,4
995,4184,1225,9
996,30784,999,8
997,8582,1055,10
998,9311,380,4
999,3184,991,2
1000,18636,792,4
1001,5751,297,3
1002,3314,434,5
1003,27793,1082,6
1004,32406,1693,4
1005,2065,1354,7
1006,31297,1503,10
1007,5120,178,10
1008,7629,990,8
1009,45317,683,9
1010,26187,1384,6
1011,1999,1121,10
1012,28909,1601,10
1013,40469,1472,4
1014,35286,1814,10
1015,47399,127,3
1016,22519,217,7
1017,7780,745,4
1018,1196,60,9
1019,42062,501,3
1020,9973,600,2
1021,37003,1738,6
1022,28518,1174,9
1023,2180,45,6
1024,14354,253,8
1025,30311,175,9
1026,33539,560,2
1027,20367,1061,4
1028,34947,958,5
1029,24754,1277,5
1030,33085,1197,4
1031,22071,1635,1
1032,20304,419,7
1033,1628,778,4
1034,47378,335,5
1035,4126,408,2
1036,34662,1319,4
1037,2783,709,4
1038,35933,1977,9
1039,45918,1057,5
1040,45565,454,4
1041,34160,697,4
1042,17743,621,2
1043,9706,1512,3
1044,26828,853,5
1045,42758,1846,2
1046,3796,1536,1
1047,34038,1390,10
1048,38116,1690,5
1049,7222,545,4
1050,8123,361,2
1051,31989,657,5
1052,27160,1780,8
1053,35657,1866,2
1054,17718,545,9
1055,42737,1870,3
1056,8476,609,6
1057,22345,1313,1
1058,7491,1212,7
1059,5071,1485,8
1060,13692,210,2
1061,31808,920,9
1062,37940,895,5
1063,34303,603,8
1064,40811,1690,9
1065,12371,191,2
1066,22323,137,7
1067,46124,139,9
1068,9463,1948,6
1069,21247,1378,7
1070,8855,1409,4
1071,4984,1515,2
1072,38817,1470,10
1073,37070,631,2
1074,38786,1140,8
1075,27798,1186,2
1076,4669,1953,10
1077,5854,965,3
1078,20658,974,1
1079,14190,940,5
1080,48502,1687,5
1081,36347,1039,8
1082,6537,1666,4
1083,7182,1641,2
1084,16685,378,10
1085,30724,857,1
1086,40510,1684,7
1087,11407,912,2
1088,20830,814,1
1089,31308,1164,8
1090,6246,849,4
1091,40080,957,7
1092,32917,754,4
1093,19456,1123,7
1094,20831,581,2
1095,3702,1964,10
1096,19098,708,5
1097,15011,375,6
1098,25942,848,9
1099,30046,523,3
1100,22247,1815,1
1101,15120,1230,8
1102,45182,514,9
1103,3754,1357,2
1104,45209,1954,9
1105,45284,1058,5
1106,18975,969,2
1107,29076,1884,6
1108,19313,743,7
1109,10412,1879,8
1110,5647,1293,10
1111,45141,1082,8
1112,43867,742,3
1113,23522,1071,1
1114,4964,1973,9
1115,15339,1129,9
1116,5057,1217,8
1117,39636,1868,4
1118,27694,976,5
1119,914,1413,6
1120,25992,1039,9
1121,6946,1243,7
1122,38653,72,4
1123,30787,1820,9
1124,44398,143,9
1125,6653,422,6
1126,17556,702,5
1127,5180,1991,1
1128,17780,934,10
1129,49052,885,8
1130,23342,1019,5
1131,45978,95,4
1132,12133,1680,4
1133,46480,253,5
1134,16289,1621,5
1135,36277,980,4
1136,43788,1301,1
1137,34229,761,1
1138,16912,408,10
1139,8247,439,9
1140,23902,1449,5
1141,466,1235,10
1142,12343,1574,7
1143,3031,957,3
1144,18136,1329,3
1145,2526,1321,3
1146,25372,328,8
1147,41596,1063,7
1148,24523,1333,4
1149,15308,371,10
1150,29333,1768,4
1151,37881,268,3
1152,48781,1414,5
1153,8678,1562,2
1154,9966,912,3
1155,39334,859,1
1156,8963,1275,3
1157,13832,677,3
1158,33375,27,6
1159,18536,1603,8
1160,43097,1258,10
1161,47637,1590,7
1162,11807,687,2
1163,44340,723,2
1164,16420,222,10
1165,3357,1050,10
1166,30378,614,2
1167,23917,1402,5
1168,49645,211,6
1169,34025,109,9
1170,36619,1038,4
1171,7829,536,9
1172,49327,433,10
1173,20705,1690,5
1174,11887,812,7
1175,5277,1776,2
1176,17375,997,1
1177,45834,1599,8
1178,33487,424,7
1179,898,1490,9
1180,9160,1679,5
1181,22641,1550,8
1182,4544,1036,8
1183,25663,664,4
1184,34474,1498,6
1185,38241,1759,5
1186,35778,185,9
1187,21467,1210,8
1188,10639,316,7
1189,23674,714,8
1190,2800,1248,5
1191,24540,1733,3
1192,41701,1460,8
1193,22539,477,6
1194,11133,136,9
1195,30263,1999,6
1196,8220,1766,2
1197,15529,345,3
1198,8994,101,4
1199,28199,991,2
1200,1444,139,8
1201,35223,580,3
1202,35050,843,4
1203,51,551,8
1204,37740,1020,2
1205,37982,381,3
1206,7611,2,3
1207,34020,1335,5
1208,8052,652,1
1209,15649,399,3
1210,17132,784,8
1211,35135,483,10
1212,17006,771,9
1213,28135,178,3
1214,49618,1728,6
1215,1754,709,10
1216,46658,324,2
1217,46603,738,8
1218,32261,1291,5
1219,16611,1048,1
1220,42946,715,3
1221,45048,320,10
1222,30558,1775,9
1223,8576,48,1
1224,26352,1068,3
1225,4179,1155,10
1226,13800,1594,3
1227,14218,445,9
1228,3077,453,10
1229,22190,57,6
1230,28612,1568,4
1231,46378,416,8
1232,23522,1585,1
1233,38458,597,6
1234,24836,599,6
1235,40974,1249,9
1236,48195,141,6
1237,24734,1054,7
1238,47862,1229,7
1239,27264,1304,10
1240,38450,587,5
1241,13628,1972,7
1242,28097,1452,4
1243,44813,1899,4
1244,1937,932,7
1245,27737,1339,5
1246,40443,689,9
1247,19648,1291,3
1248,39334,100,8
1249,37716,1851,7
1250,14619,730,5
1251,47925,1611,9
1252,16612,1266,8
1253,29090,1339,7
1254,18923,953,10
1255,40060,1289,10
1256,29599,1897,7
1257,34258,1422,7
1258,40107,1692,9
1259,1508,17,4
1260,15536,122,5
1261,22819,15,6
1262,43530,1556,2
1263,8826,215,1
1264,32265,364,10
1265,28492,600,7
1266,35943,1903,4
1267,15490,99,1
1268,41379,233,4
1269,10202,275,6
1270,10263,1828,1
1271,30781,800,3
1272,28870,1465,2
1273,19937,1167,7
1274,41242,538,5
1275,46132,1422,4
1276,12658,74,3
1277,42885,1256,7
1278,46210,1125,10
1279,820,190,4
1280,39042,1903,4
1281,15412,582,4
1282,4973,738,4
1283,9129,50,9
1284,9183,758,10
1285,43374,1190,4
1286,31883,787,8
1287,48109,1778,10
1288,7793,733,8
1289,27752,1595,6
1290,31212,1908,9
1291,605,424,4
1292,46459,1067,10
1293,34259,347,8
1294,4760,1607,6
1295,31532,806,6
1296,22368,578,10
1297,11979,368,5
1298,47364,633,6
1299,37514,843,3
1300,30371,1865,5
1301,39650,634,7
1302,41615,1379,7
1303,45217,1686,9
1304,7916,1665,4
1305,44485,342,2
1306,43038,1836,3
1307,20618,1201,2
1308,24332,1046,6
1309,26824,176,9
1310,28174,596,6
1311,45230,523,4
1312,23810,624,2
1313,46086,225,8
1314,9521,1332,6
1315,44751,160,8
1316,42974,1380,10
1317,30850,162,3
1318,20197,1767,1
1319,30772,1911,9
1320,47613,1220,10
1321,31030,1721,9
1322,6675,1544,3
1323,10452,1376,8
1324,44151,1116,7
1325,41982,1284,5
1326,8953,703,4
1327,23265,509,6
1328,1479,706,4
1329,48041,1755,8
1330,9863,1657,7
1331,10764,759,3
1332,30890,1958,7
1333,936,959,9
1334,13813,1418,10
1335,15605,549,5
1336,14363,622,2
1337,13060,1677,10
1338,48486,1857,7
1339,2667,1478,9
1340,5717,1367,5
1341,45502,214,8
1342,38278,1763,2
1343,6732,1771,5
1344,10674,1219,2
1345,48198,960,3
1346,46414,1449,7
1347,36488,1240,3
1348,21320,828,2
1349,46172,1234,10
1350,41380,1281,6
1351,14096,1505,5
1352,12485,1433,7
1353,11228,1478,3
1354,15575,610,10
1355,7584,1099,5
1356,4277,1378,6
1357,12878,1966,7
1358,23522,1346,4
1359,35488,1611,8
1360,22740,1948,4
1361,36151,608,10
1362,32951,531,4
1363,6157,1200,9
1364,47858,862,10
1365,2335,764,9
1366,11782,1613,6
1367,2831,111,10
1368,1036,1830,7
1369,47894,282,3
1370,35515,878,5
1371,17995,1511,3
1372,37861,752,10
1373,30206,1151,2
1374,34343,1663,6
1375,45449,221,1
1376,25569,1639,10
1377,9935,1592,8
1378,5716,535,2
1379,21372,924,6
1380,34153,1908,1
1381,30638,835,7
1382,917,316,10
1383,48869,324,5
1384,43421,1378,4
1385,21595,154,2
1386,12922,482,3
1387,17140,34,1
1388,32917,1444,10
1389,46694,659,7
1390,38083,1649,3
1391,41312,1888,1
1392,3368,137,8
1393,24203,1835,8
1394,36486,1380,9
1395,30462,557,4
1396,25075,994,1
1397,9902,1525,7
1398,12161,1092,1
1399,34439,908,3
1400,5471,1393,1
1401,43771,1968,2
1402,27870,1658,5
1403,12950,1676,8
1404,42554,196,6
1405,6706,48,4
1406,16774,1324,5
1407,3759,1634,8
1408,20984,314,9
1409,44774,242,5
1410,17709,1906,8
1411,13768,689,4
1412,48748,1483,5
1413,6753,1019,3
1414,22424,608,9
1415,45051,1632,3
1416,11925,1161,4
1417,6556,1737,3
1418,41833,235,2
1419,10178,1262,5
1420,49004,1164,8
1421,16148,954,2
1422,17674,155,6
1423,26175,1919,7
1424,37984,989,1
1425,48911,790,10
1426,18848,1945,3
